Country,Country_Code,Year,Value,UNIT_MEASURE,OBS_STATUS,Indicator,Indicator_Code,processed_at,indicator_clean,connection_type
Africa Eastern and Southern,AFE,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Eastern and Southern,AFE,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Africa Western and Central,AFW,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Arab World,ARB,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Caribbean small states,CSS,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Central Europe and the Baltics,CEB,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2010,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2009,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2008,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2007,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2006,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2005,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2004,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2003,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2002,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2001,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
Early-demographic dividend,EAR,2000,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2024,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2023,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2022,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2021,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2020,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2019,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2018,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2017,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2016,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2015,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2014,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2013,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2012,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
East Asia & Pacific,EAS,2011,,Percentage,Missing,Individuals using the Internet (% of population),IT.NET.USER.ZS,2025-09-30 18:52:59,Individuals using the Internet (% of population),unknown
